Station Name,Line,Latitude ,Longitude
Boston College,Green B,42.340081,-71.166769
South Street,Green B,42.34021,-71.157661
Chestnut Hill,Green B,42.338169,-71.15316
Chiswick Road,Green B,42.340805,-71.150711
Sutherland Road,Green B,42.341614,-71.146202
Washington Street,Green B,42.343864,-71.142853
Warren Street,Green B,42.348343,-71.140457
Allston Street,Green B,42.348701,-71.137955
Griggs Street,Green B,42.348545,-71.134949
Harvard Ave. ,Green B,42.350243,-71.131355
Packards Corner,Green B,42.351967,-71.125031
Babcock Street,Green B,42.35182,-71.12165
Pleasant Street,Green B,42.351521,-71.118889
St. Paul Street,Green B,42.351714,-71.116104
Boston Univ. West,Green B,42.350941,-71.113876
Boston Univ. Central,Green B,42.350082,-71.106865
Boston Univ. East,Green B,42.349735,-71.103889
Blanford Street,Green B,42.349293,-71.100258
Kenmore,Green B,42.348949,-71.095169
Hynes Convention Center,Green B,42.347888,-71.087903
Copley,Green B,42.349974,-71.077447
Arlington,Green B,42.351902,-71.070893
Boylston,Green B,42.35302,-71.06459
Park,Green B,42.35639457,-71.0624242
