Station Name,Line,Latitude ,Longitude
Heath,Green E,42.328681,-71.110559
Back of the Hill,Green E,42.330139,-71.111313
Riverway,Green E,42.331684,-71.111931
Mission Park,Green E,42.333195,-71.109756
Fenwood Road,Green E,42.333706,-71.105728
Brigham Circle ,Green E,42.334229,-71.104609
Longwood Medical Area,Green E,42.33596,-71.100052
Museum of Fine Arts,Green E,42.337711,-71.095512
Northeasten University,Green E,42.340401,-71.088806
Symphony,Green E,42.342687,-71.085056
Prudential,Green E,42.34557,-71.081696
Copley,Green E,42.349974,-71.077447
Arlington,Green E,42.351902,-71.070893
Boylston,Green E,42.35302,-71.06459
Park,Green E,42.35639457,-71.0624242
Government Center,Green E,42.359705,-71.059215
Science Park,Green E,42.366664,-71.067666
Lechemere,Green E,42.370772,-71.076536
