Station Name,Line,Latitude ,Longitude
Wonderland,Blue,42.41342,-70.991648
Revere Beach,Blue,42.40784254,-70.99253321
Beachmont,Blue,42.39754234,-70.99231944
Suffolk Downs,Blue,42.39050067,-70.99712259
Orient Heights,Blue,42.386867,-71.004736
Wood Island,Blue,42.3796403,-71.02286539
Airport,Blue,42.374262,-71.030395
Maverick,Blue,42.36911856,-71.03952958
Aquarium,Blue,42.359784,-71.051652
State Street,Blue,42.358978,-71.057598
Government Center,Blue,42.359705,-71.059215
Bowdoin,Blue,42.361365,-71.062037
