,Station_Name,Line,Latitude,Longitude,tract,county,Income
1,Heath,Green E,42.328681,-71.110559,120700,Suffolk County,82763
2,Back of the Hill,Green E,42.330139,-71.111313,81100,Suffolk County,47813
3,Riverway,Green E,42.331684,-71.111931,81100,Suffolk County,47813
4,Mission Park,Green E,42.333195,-71.109756,81001,Suffolk County,21250
5,Fenwood Road,Green E,42.333706,-71.105728,81001,Suffolk County,21250
6,Brigham Circle ,Green E,42.334229,-71.104609,80900,Suffolk County,51680
7,Longwood Medical Area,Green E,42.33596,-71.100052,80801,Suffolk County,26120
8,Museum of Fine Arts,Green E,42.337711,-71.095512,10405,Suffolk County,16993
9,Northeasten University,Green E,42.340401,-71.088806,10405,Suffolk County,16993
10,Symphony,Green E,42.342687,-71.085056,10405,Suffolk County,16993
11,Prudential,Green E,42.34557,-71.081696,10600,Suffolk County,93482
12,Copley,Green E,42.349974,-71.077447,10600,Suffolk County,93482
13,Arlington,Green E,42.351902,-71.070893,10702,Suffolk County,118508
14,Boylston,Green E,42.35302,-71.06459,981700,Suffolk County,102102
15,Park,Green E,42.35639457,-71.0624242,981700,Suffolk County,102102
16,Government Center,Green E,42.359705,-71.059215,30300,Suffolk County,102277
17,Science Park,Green E,42.366664,-71.067666,20303,Suffolk County,81607
18,Lechemere,Green E,42.370772,-71.076536,352102,Middlesex County,115000
