,Station_Name,Line,Latitude,Longitude,tract,county,Income
1,Oak Grove,Orange,42.43668,-71.071097,341101,Middlesex County,81875
2,Malden Center,Orange,42.426632,-71.07411,341300,Middlesex County,39934
3,Wellington,Orange,42.40237,-71.077082,339801,Middlesex County,72202
4,Assembly,Orange,42.392811,-71.077257,350103,Middlesex County,80455
5,Sullivan Square,Orange,42.383975,-71.076994,40600,Suffolk County,121096
6,Community College,Orange,42.373622,-71.069533,40600,Suffolk County,121096
7,North Station ,Orange,42.365577,-71.06129,20303,Suffolk County,81607
8,Haymarket,Orange,42.363021,-71.05829,30300,Suffolk County,102277
9,State Street,Orange,42.358978,-71.057598,30300,Suffolk County,102277
10,Downtown Crossing,Orange,42.355518,-71.060225,70101,Suffolk County,89855
11,Chinatown,Orange,42.352547,-71.062752,70101,Suffolk County,89855
12,Tufts Medical Center,Orange,42.349662,-71.063917,70200,Suffolk County,20905
13,Back Bay,Orange,42.34735,-71.075727,70700,Suffolk County,98482
14,Massachusetts Ave. ,Orange,42.341512,-71.083423,10405,Suffolk County,16993
15,Ruggles,Orange,42.336377,-71.088961,80601,Suffolk County,16892
16,Roxbury Crossing,Orange,42.331397,-71.095451,81400,Suffolk County,42585
17,Jackson Square,Orange,42.323132,-71.099592,81300,Suffolk County,20914
18,Stony Brook,Orange,42.317062,-71.104248,120301,Suffolk County,75873
19,Green Street,Orange,42.310525,-71.107414,120400,Suffolk County,77462
20,Forest Hills,Orange,42.300523,-71.113686,110103,Suffolk County,64116
