Station_Name,Line,Latitude ,Longitude
Alewife,Red,42.395428,-71.142483
Davis,Red,42.39674,-71.121815
Porter,Red,42.3884,-71.119149
Harvard,Red,42.373362,-71.118956
Central,Red,42.365486,-71.103802
Kendall/MIT,Red,42.36249079,-71.08617653
Charles/MGH,Red,42.361166,-71.070628
Park,Red,42.35639457,-71.0624242
Downtown Crossing,Red,42.355518,-71.060225
South Station,Red,42.352271,-71.055242
Broadway,Red,42.342622,-71.056967
Andrew,Red,42.330154,-71.057655
JFK/Umass,Red,42.320685,-71.052391
Savin Hill,Red,42.31129,-71.053331
Fields Corner,Red,42.300093,-71.061667
Shawmut,Red,42.29312583,-71.06573796
Ashmonth,Red,42.284652,-71.064489
Cedar Grove,Red,42.279682,-71.060432
Butler,Red,42.272343,-71.062584
Milton,Red,42.270306,-71.067673
Central Ave.,Red,42.270027,-71.073334
Valley Road,Red,42.268322,-71.081566
Capen Street,Red,42.267712,-71.087753
Mattapan,Red,42.267762,-71.092241
