"","CASE_ENQUIRY_ID","open_dt","TARGET_DT","closed_dt","OnTime","CASE_STATUS","CLOSURE_REASON","CASE_TITLE","SUBJECT","REASON","TYPE","QUEUE","Department","SubmittedPhoto","ClosedPhoto","Location","Fire_district","pwd_district","city_council_district","police_district","neighborhood","neighborhood_services_district","ward","precinct","LOCATION_STREET_NAME","LOCATION_ZIPCODE","Latitude","Longitude","Source","street_path"
"1",101001416825,"2015-06-24 17:24:47","","2015-10-06 09:42:35","ONTIME","Closed","Case Closed. Closed date : 2015-10-06 09:42:35.147 Case Resolved Mobile Sharps Team Canvassed the area. No needles found.  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/558b201b696360475f9f7131/report.jpg","","300 Frontage Rd  Roxbury  MA  02118",6,"05",2,"C6","South Boston / South Boston Waterfront",6,"Ward 8","0801","300 Frontage Rd",2118,42.3397,-71.0626,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3397,-71.0626&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"2",101001418769,"2015-06-27 19:53:29","","2015-10-05 17:42:38","ONTIME","Closed","Case Closed. Closed date : 2015-10-05 17:42:38.763 Case Resolved Mobile Sharps Team Canvassed the area. No needles found.  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/558f377b696360475f9f8bdb/photo_20150627_195151.jpg","","695 Atlantic Ave  Boston  MA  02111",4,"1C",2,"A1","Downtown / Financial District",4,"Ward 3","0308","695 Atlantic Ave",2111,42.3516,-71.0564,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3516,-71.0564&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"3",101001420124,"2015-06-30 08:45:45","","2015-10-05 17:35:53","ONTIME","Closed","Case Closed. Closed date : 2015-10-05 17:35:53.55 Case Resolved Mobile Sharps Team Canvassed the area. No needles found.  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/55928f826963e4b692e3528e/report.jpg","","358 Dorchester St  South Boston  MA  02127",6,"05",2,"C6","South Boston / South Boston Waterfront",5,"Ward 7","0706","358 Dorchester St",2127,42.3304,-71.0549,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3304,-71.0549&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"4",101001421820,"2015-07-01 23:11:00","","2015-07-09 14:26:49","ONTIME","Closed","Case Closed. Closed date : 2015-07-09 14:26:49.087 Case Noted Responded to a report of a small homeless camp behind 95 Von Hillern St  South Boston  an area adjacent to Colombia Road near the JFK/UMass MBTA station where there were reported to be multiple used hypodermic needles in some overgrowth.  Upon arrival the sharps team met the one encampment member present  who unbeknownst to us had a long and colorful history with law enforcement trying to remove him from that area  who was initially reluctant to remove himself from the area but eventually came around. Upon thorough inspection the sharps team removed ~45 syringes from the area.  Constituant Alex Durso was notified of the cleanup and has said that he is planning on bringing in contractors this evening to cut down the overgrowth. -John Canty   ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/5594abdc6963e4b692e363ea/report.jpg","","95 Von Hillern St  South Boston  MA  02127",6,"05",2,"C6","Dorchester",5,"Ward 7","0707","95 Von Hillern St",2127,42.3594,-71.0587,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3594,-71.0587&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"5",101001422429,"2015-07-02 17:14:58","","2015-10-06 09:40:47","ONTIME","Closed","Case Closed. Closed date : 2015-10-06 09:40:47.223 Case Resolved Mobile Sharps Team Canvassed the area. No needles found.  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/5595a9e46963e4b692e36b11/report.jpg","","68 Moreland St  Roxbury  MA  02119",7,"10B",7,"B2","Roxbury",13,"08","0807","68 Moreland St",2119,42.3243,-71.0787,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3243,-71.0787&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"6",101001422956,"2015-07-04 18:40:59","","2015-10-06 09:40:04","ONTIME","Closed","Case Closed. Closed date : 2015-10-06 09:40:04.23 Case Resolved Mobile Sharps Team Canvassed the area. No needles found.  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/559861116963e4b692e377dd/report.jpg","","19 Valentine St  Roxbury  MA  02119",9,"10B",7,"B2","Roxbury",13,"Ward 11","1102","19 Valentine St",2119,42.3594,-71.0587,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3594,-71.0587&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"7",101001424215,"2015-07-07 08:40:50","","2015-10-06 09:38:54","ONTIME","Closed","Case Closed. Closed date : 2015-10-06 09:38:54.94 Case Resolved ""Thank you for your request. We apologize for the time that it has taken to respond to this case.  If this issue persists  please resubmit your case or call 311 to speak to an agent."" ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/559bc8ef6963e4b692e38a22/report.jpg","","7 Gay St  Roxbury  MA  02119",7,"10B",7,"B2","Roxbury",13,"Ward 9","0905","7 Gay St",2119,42.3594,-71.0587,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3594,-71.0587&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"8",101001424518,"2015-07-07 11:59:58","","2015-10-06 10:02:58","ONTIME","Closed","Case Closed. Closed date : 2015-10-06 10:02:58.717 Case Resolved Mobile Sharps Team canvassed the area. No needles found.  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/559bf7996963e4b692e38c1e/report.jpg","","11 E Newton St  Roxbury  MA  02118",4,"1C",2,"D4","Roxbury",6,"08","0802","11 E Newton St",2118,42.3383,-71.0732,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3383,-71.0732&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"9",101001427155,"2015-07-10 16:37:40","","2015-10-05 17:34:57","ONTIME","Closed","Case Closed. Closed date : 2015-10-05 17:34:57.64 Case Resolved Mobile Sharps Team Canvassed the area. No needles found.  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/55a02d3a69638738d6faeda4/report.jpg","","95 Von Hillern St  South Boston  MA  02127",6,"05",2,"C6","Dorchester",5,"Ward 7","0707","95 Von Hillern St",2127,42.3594,-71.0587,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3594,-71.0587&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
"10",101001431463,"2015-07-17 07:23:20","","2015-10-05 17:33:22","ONTIME","Closed","Case Closed. Closed date : 2015-10-05 17:33:22.547 Case Resolved Mobile Sharps Team Canvassed the area. No needles found.  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://mayors24.cityofboston.gov/media/boston/report/photos/55a8e5a46963f60aeaf71e50/report.jpg","","933 E Second St  South Boston  MA  02127",6,"05",2,"C6","South Boston",5,"06","0609","933 E Second St",2127,42.3374,-71.0259,"Citizens Connect App","https://maps.googleapis.com/maps/api/streetview?location=42.3374,-71.0259&size=600x400&key=AIzaSyDlLoQ8olGkr3hI51HtSLCaHDENjQklT6E"
