Station Name,Line,Latitude ,Longitude
Cleveland Circle,Green C,42.336142,-71.149326
Englewood Ave. ,Green C,42.336971,-71.14566
Dean Road,Green C,42.337807,-71.141853
Tappan Street,Green C,42.338459,-71.138702
Washington Square,Green C,42.339394,-71.13533
Fairbanks Street,Green C,42.339725,-71.131073
Brandon Hall,Green C,42.340023,-71.129082
Summit Ave.,Green C,42.34111,-71.12561
Coolidge Corner,Green C,42.342116,-71.121263
Saint Paul Street,Green C,42.343327,-71.116997
Kent Street,Green C,42.344074,-71.114197
Hawes Street,Green C,42.344906,-71.111145
St. Mary's St.,Green C,42.345974,-71.107353
Kenmore,Green C,42.348949,-71.095169
Hynes Convention Center,Green C,42.347888,-71.087903
Copley,Green C,42.349974,-71.077447
Arlington,Green C,42.351902,-71.070893
Boylston,Green C,42.35302,-71.06459
Park,Green C,42.35639457,-71.0624242
Government Center,Green C,42.359705,-71.059215
Haymarket,Green C,42.363021,-71.05829
North Station,Green C,42.365577,-71.06129
