Station Name,Line,Latitude ,Longitude
Riverside,Green D,42.337059,-71.251742
Woodland,Green D,42.333374,-71.244301
Waban,Green D,42.325943,-71.230728
Eliot,Green D,42.319023,-71.216713
Newton Highlands,Green D,42.321735,-71.206116
Newton Centre,Green D,42.329391,-71.192429
Chestnut Hill,Green D,42.326653,-71.165314
Reservoir,Green D,42.335027,-71.148952
Beaconsfield,Green D,42.335846,-71.140823
Brookline Hills,Green D,42.331333,-71.126999
Brookline Village,Green D,42.332774,-71.116296
Longwood,Green D,42.341145,-71.110451
Fenway,Green D,42.345394,-71.104187
Kenmore,Green D,42.348949,-71.095169
Hynes Convention Center,Green D,42.347888,-71.087903
Copley,Green D,42.349974,-71.077447
Arlington,Green D,42.351902,-71.070893
Boylston,Green D,42.35302,-71.06459
Park,Green D,42.35639457,-71.0624242
Government Center,Green D,42.359705,-71.059215
