Station Name,Line,Latitude ,Longitude
Oak Grove,Orange,42.43668,-71.071097
Malden Center,Orange,42.426632,-71.07411
Wellington,Orange,42.40237,-71.077082
Assembly,Orange,42.392811,-71.077257
Sullivan Square,Orange,42.383975,-71.076994
Community College,Orange,42.373622,-71.069533
North Station ,Orange,42.365577,-71.06129
Haymarket,Orange,42.363021,-71.05829
State Street,Orange,42.358978,-71.057598
Downtown Crossing,Orange,42.355518,-71.060225
Chinatown,Orange,42.352547,-71.062752
Tufts Medical Center,Orange,42.349662,-71.063917
Back Bay,Orange,42.34735,-71.075727
Massachusetts Ave. ,Orange,42.341512,-71.083423
Ruggles,Orange,42.336377,-71.088961
Roxbury Crossing,Orange,42.331397,-71.095451
Jackson Square,Orange,42.323132,-71.099592
Stony Brook,Orange,42.317062,-71.104248
Green Street,Orange,42.310525,-71.107414
Forest Hills,Orange,42.300523,-71.113686
