"GEOID","NAME","B28002_001","B28002_006","percent","state"
"01","Alabama",1852518,263739,14.236784743792,"AL"
"02","Alaska",248468,30103,12.1154434373843,"AK"
"04","Arizona",2519052,268490,10.6583746584032,"AZ"
"05","Arkansas",1142718,182438,15.9652687714729,"AR"
"06","California",12944178,1244929,9.61767522047364,"CA"
"08","Colorado",2108992,189005,8.9618642460474,"CO"
"09","Connecticut",1357269,98184,7.23393815080135,"CT"
"10","Delaware",351085,26420,7.52524317472977,"DE"
"11","District of Columbia",281241,21622,7.68806824040592,"DC"
"12","Florida",7573456,747989,9.8764553461458,"FL"
"13","Georgia",3686135,399250,10.8311279972112,"GA"
"15","Hawaii",455868,36861,8.08589328489826,"HI"
"16","Idaho",610872,59107,9.67584043793135,"ID"
"17","Illinois",4822046,531943,11.031479168801,"IL"
"18","Indiana",2533270,305125,12.0447090124622,"IN"
"19","Iowa",1247932,136400,10.9300827288666,"IA"
"20","Kansas",1110407,126230,11.3679038406638,"KS"
"21","Kentucky",1717706,195026,11.353863816043,"KY"
"22","Louisiana",1720801,212511,12.3495395458278,"LA"
"23","Maine",531660,39805,7.48692773577098,"ME"
"24","Maryland",2194657,199591,9.09440518495601,"MD"
"25","Massachusetts",2579398,183354,7.10840281336963,"MA"
"26","Michigan",3884153,434153,11.1775463016004,"MI"
"27","Minnesota",2148725,212339,9.88209286902698,"MN"
"28","Mississippi",1091245,193335,17.7169196651531,"MS"
"29","Missouri",2372190,287577,12.1228485070757,"MO"
"30","Montana",416125,36726,8.82571342745569,"MT"
"31","Nebraska",747562,78707,10.5284912823284,"NE"
"32","Nevada",1055158,111804,10.5959486636125,"NV"
"33","New Hampshire",520643,35278,6.77585216741606,"NH"
"34","New Jersey",3194519,252966,7.91875083541528,"NJ"
"35","New Mexico",758364,89982,11.8652784151146,"NM"
"36","New York",7209054,632321,8.77120631916476,"NY"
"37","North Carolina",3882423,385433,9.92764054818344,"NC"
"38","North Dakota",315134,26291,8.34280020562681,"ND"
"39","Ohio",4624669,463522,10.0228146057588,"OH"
"40","Oklahoma",1469342,227348,15.4727762495049,"OK"
"41","Oregon",1571678,147676,9.39607222344526,"OR"
"42","Pennsylvania",4937771,434916,8.80794188308854,"PA"
"44","Rhode Island",408239,33785,8.27578942727177,"RI"
"45","South Carolina",1877887,228896,12.1890188280764,"SC"
"46","South Dakota",334003,29302,8.77297509303809,"SD"
"47","Tennessee",2556332,321852,12.5903834087278,"TN"
"48","Texas",9535612,1272899,13.3488967462183,"TX"
"49","Utah",943147,83501,8.85344490307449,"UT"
"50","Vermont",254851,17591,6.90246457734127,"VT"
"51","Virginia",3120692,321566,10.3043171194081,"VA"
"53","Washington",2768076,231590,8.36646103647443,"WA"
"54","West Virginia",722125,60107,8.32362818071663,"WV"
"55","Wisconsin",2326998,233424,10.0311216425626,"WI"
"56","Wyoming",223619,22618,10.1145251521561,"WY"
